timestamp,open,high,low,close,volume
2021-06-02,0.4241,0.445,0.392,0.424,130216677
2021-06-03,0.424,0.4415,0.376,0.4008,251416845
2021-06-04,0.4008,0.402,0.3505,0.3767,228716189
2021-06-05,0.3767,0.3949,0.3604,0.3716,168467599
2021-06-06,0.3716,0.379,0.365,0.3716,74805104
2021-06-07,0.3716,0.3794,0.3266,0.3312,155778366
2021-06-08,0.3312,0.341,0.2943,0.3257,282704185
2021-06-09,0.3257,0.3573,0.3121,0.3434,231716569
2021-06-10,0.3434,0.345,0.3222,0.3263,148605959
2021-06-11,0.3263,0.3349,0.3106,0.3188,156873222
2021-06-12,0.3188,0.3189,0.3004,0.3119,134005102
2021-06-13,0.3119,0.3302,0.3075,0.3243,102492255
2021-06-14,0.3243,0.3388,0.3192,0.3278,104086429
2021-06-15,0.3278,0.3307,0.3161,0.3205,85963808
2021-06-16,0.3205,0.3215,0.305,0.3082,86129877
2021-06-17,0.3082,0.3141,0.3027,0.3062,76428463
2021-06-18,0.3062,0.3077,0.2798,0.2929,156495164
2021-06-19,0.2929,0.2975,0.2854,0.2855,93693148
2021-06-20,0.2855,0.29,0.2548,0.2803,181217519
2021-06-21,0.2803,0.2811,0.1646,0.1783,710742584
2021-06-22,0.1783,0.217,0.1624,0.1904,1301442558
2021-06-23,0.1904,0.249,0.1799,0.2346,786688722
2021-06-24,0.2346,0.2697,0.2217,0.2635,627068033
2021-06-25,0.2635,0.2892,0.2284,0.2374,1123742164
2021-06-26,0.2374,0.2563,0.2304,0.2455,516753609
2021-06-27,0.2455,0.2682,0.2401,0.2652,316755637
2021-06-28,0.2652,0.2682,0.2487,0.257,253077180
2021-06-29,0.257,0.2759,0.2534,0.2637,335499135
2021-06-30,0.2637,0.264,0.2369,0.2537,266285771
2021-07-01,0.2537,0.2646,0.2378,0.244,336958709
2021-07-02,0.244,0.2491,0.2383,0.2448,174188443
2021-07-03,0.2448,0.2501,0.2421,0.2463,107903207
2021-07-04,0.2463,0.253,0.2436,0.2465,116922249
2021-07-05,0.2465,0.2465,0.224,0.2311,208252964
2021-07-06,0.2311,0.2418,0.2283,0.2342,159676757
2021-07-07,0.2342,0.2385,0.22,0.2239,155023490
2021-07-08,0.2239,0.2248,0.2001,0.2067,280778165
2021-07-09,0.2067,0.2299,0.1949,0.2197,649002088
2021-07-10,0.2197,0.228,0.2098,0.214,228623054
2021-07-11,0.214,0.2193,0.2106,0.216,145371661
2021-07-12,0.216,0.2189,0.2041,0.208,162455357
2021-07-13,0.208,0.209,0.1973,0.2001,169039822
2021-07-14,0.2001,0.2043,0.1873,0.1978,282145597
2021-07-15,0.1978,0.2008,0.1804,0.1851,218975162
2021-07-16,0.1851,0.1884,0.1711,0.172,307538700
2021-07-17,0.172,0.2054,0.1688,0.1877,595743552
2021-07-18,0.1877,0.1962,0.1802,0.1815,358199691
2021-07-19,0.1815,0.1845,0.1705,0.1737,315267126
2021-07-20,0.1737,0.1799,0.1595,0.1702,500161584
2021-07-21,0.1702,0.2146,0.1681,0.1904,1107460444
2021-07-22,0.1904,0.1968,0.1865,0.1913,362966598
2021-07-23,0.1913,0.1998,0.1822,0.1949,325523169
2021-07-24,0.1949,0.2046,0.1912,0.197,332153356
2021-07-25,0.197,0.2008,0.1912,0.1981,283125923
